"outcome","id.exposure","id.outcome","exposure","method","nsnp","b","se","pval","qval","outcome_full"
"anaemia_preg_all","GLNekg","anaemia_preg_all","Endometriosis (Rahmioglu)","MR Egger",34,-0.229,0.345,"0.511","0.812","Pregnancy anemia"
"anaemia_preg_all","GLNekg","anaemia_preg_all","Endometriosis (Rahmioglu)","Weighted median",34,0.063,0.13,"0.628","0.834","Pregnancy anemia"
"anaemia_preg_all","GLNekg","anaemia_preg_all","Endometriosis (Rahmioglu)","Inverse variance weighted",34,-0.016,0.104,"0.879","0.963","Pregnancy anemia"
"anaemia_preg_all","GLNekg","anaemia_preg_all","Endometriosis (Rahmioglu)","Simple mode",34,0.337,0.307,"0.279","0.632","Pregnancy anemia"
"anaemia_preg_all","GLNekg","anaemia_preg_all","Endometriosis (Rahmioglu)","Weighted mode",34,0.145,0.242,"0.555","0.812","Pregnancy anemia"
"Antepartum_bleeding","GLNekg","Antepartum_bleeding","Endometriosis (Rahmioglu)","MR Egger",40,0.317,0.276,"0.258","0.625","Antepartum bleeding"
"Antepartum_bleeding","GLNekg","Antepartum_bleeding","Endometriosis (Rahmioglu)","Weighted median",40,0.079,0.12,"0.511","0.812","Antepartum bleeding"
"Antepartum_bleeding","GLNekg","Antepartum_bleeding","Endometriosis (Rahmioglu)","Inverse variance weighted",40,0.053,0.089,"0.549","0.812","Antepartum bleeding"
"Antepartum_bleeding","GLNekg","Antepartum_bleeding","Endometriosis (Rahmioglu)","Simple mode",40,0.116,0.239,"0.63","0.834","Antepartum bleeding"
"Antepartum_bleeding","GLNekg","Antepartum_bleeding","Endometriosis (Rahmioglu)","Weighted mode",40,0.102,0.176,"0.566","0.812","Antepartum bleeding"
"depr_subsamp","GLNekg","depr_subsamp","Endometriosis (Rahmioglu)","MR Egger",34,-0.079,0.134,"0.558","0.812","Postpartum depression"
"depr_subsamp","GLNekg","depr_subsamp","Endometriosis (Rahmioglu)","Weighted median",34,-0.014,0.062,"0.828","0.947","Postpartum depression"
"depr_subsamp","GLNekg","depr_subsamp","Endometriosis (Rahmioglu)","Inverse variance weighted",34,0.026,0.041,"0.524","0.812","Postpartum depression"
"depr_subsamp","GLNekg","depr_subsamp","Endometriosis (Rahmioglu)","Simple mode",34,0.008,0.122,"0.95","0.979","Postpartum depression"
"depr_subsamp","GLNekg","depr_subsamp","Endometriosis (Rahmioglu)","Weighted mode",34,0.001,0.097,"0.99","0.99","Postpartum depression"
"el_cs","GLNekg","el_cs","Endometriosis (Rahmioglu)","MR Egger",29,0.695,0.309,"0.033","0.299","Elective caesarean section"
