"outcome","id.exposure","id.outcome","exposure","method","nsnp","b","se","pval","qval","outcome_full"
"anaemia_preg_all","GLNekg","anaemia_preg_all","Endometriosis (Rahmioglu)","MR Egger",34,-0.229,0.345,0.511,0.741,"Pregnancy anemia"
"Antepartum_bleeding","GLNekg","Antepartum_bleeding","Endometriosis (Rahmioglu)","MR Egger",40,0.317,0.276,0.258,0.599,"Antepartum bleeding"
"depr_subsamp","GLNekg","depr_subsamp","Endometriosis (Rahmioglu)","MR Egger",34,-0.079,0.134,0.558,0.771,"Postpartum depression"
"el_cs","GLNekg","el_cs","Endometriosis (Rahmioglu)","MR Egger",29,0.695,0.309,0.033,0.239,"Elective caesarean section"
"em_cs","GLNekg","em_cs","Endometriosis (Rahmioglu)","MR Egger",32,0.599,0.255,0.026,0.239,"Emergency caesarean section"
"finngen_R12_O15_PLAC_DISORD","GLNekg","finngen_R12_O15_PLAC_DISORD","Endometriosis (Rahmioglu)","MR Egger",40,-0.036,0.722,0.96,0.973,"Placental disorders"
"finngen_R12_O15_PLAC_PRAEVIA","GLNekg","finngen_R12_O15_PLAC_PRAEVIA","Endometriosis (Rahmioglu)","MR Egger",40,0.476,0.312,0.135,0.458,"Placenta praevia"
"finngen_R12_O15_PLAC_PREMAT_SEPAR","GLNekg","finngen_R12_O15_PLAC_PREMAT_SEPAR","Endometriosis (Rahmioglu)","MR Egger",40,0.501,0.446,0.269,0.599,"Premature placental separation"
"ga_all","GLNekg","ga_all","Endometriosis (Rahmioglu)","MR Egger",34,0.173,0.236,0.469,0.716,"Gestational age"
"gdm_subsamp","GLNekg","gdm_subsamp","Endometriosis (Rahmioglu)","MR Egger",33,-0.116,0.112,0.305,0.628,"Gestational diabetes"
"gh_subsamp","GLNekg","gh_subsamp","Endometriosis (Rahmioglu)","MR Egger",33,-0.005,0.139,0.973,0.973,"Gestational hypertension"
"hbw_all","GLNekg","hbw_all","Endometriosis (Rahmioglu)","MR Egger",34,0.035,0.265,0.895,0.97,"High birthweight >4000g"
"hdp_subsamp","GLNekg","hdp_subsamp","Endometriosis (Rahmioglu)","MR Egger",33,0.095,0.105,0.371,0.652,"Hypertensive disorders of pregnancy"
"induction","GLNekg","induction","Endometriosis (Rahmioglu)","MR Egger",32,0.231,0.287,0.427,0.687,"Labour induction"
"lbw_all","GLNekg","lbw_all","Endometriosis (Rahmioglu)","MR Egger",34,-0.166,0.308,0.593,0.782,"Low birthweight <2500g"
"lga","GLNekg","lga","Endometriosis (Rahmioglu)","MR Egger",34,0.101,0.262,0.701,0.848,"Large for gestational age"
"lowapgar1","GLNekg","lowapgar1","Endometriosis (Rahmioglu)","MR Egger",30,0.572,0.359,0.123,0.458,"Low Apgar score at 1 min"
"lowapgar5","GLNekg","lowapgar5","Endometriosis (Rahmioglu)","MR Egger",34,0.846,0.683,0.224,0.591,"Low Apgar score at 5 min"
"nicu","GLNekg","nicu","Endometriosis (Rahmioglu)","MR Egger",33,0.106,0.264,0.691,0.848,"NICU admission"
"pe_subsamp","GLNekg","pe_subsamp","Endometriosis (Rahmioglu)","MR Egger",33,0.117,0.132,0.382,0.652,"Preeclampsia"
"Postpartum_hemorrhage","GLNekg","Postpartum_hemorrhage","Endometriosis (Rahmioglu)","MR Egger",40,-0.447,0.169,0.012,0.17,"Postpartum hemorrhage (any)"
"Postpartum_hemorrhage_due_to_atony","GLNekg","Postpartum_hemorrhage_due_to_atony","Endometriosis (Rahmioglu)","MR Egger",40,-0.471,0.173,0.01,0.17,"PPH due to atony"
"Postpartum_hemorrhage_due_to_retained_placenta","GLNekg","Postpartum_hemorrhage_due_to_retained_placenta","Endometriosis (Rahmioglu)","MR Egger",40,-0.528,0.302,0.089,0.429,"PPH due to retained placenta"
"posttb_all","GLNekg","posttb_all","Endometriosis (Rahmioglu)","MR Egger",34,0.045,0.276,0.872,0.97,"Post-term birth"
"pretb_all","GLNekg","pretb_all","Endometriosis (Rahmioglu)","MR Egger",33,-0.35,0.258,0.184,0.535,"Preterm birth <37 weeks (any)"
"rup_memb","GLNekg","rup_memb","Endometriosis (Rahmioglu)","MR Egger",34,0.244,0.162,0.142,0.458,"Premature rupture of membranes"
"sga","GLNekg","sga","Endometriosis (Rahmioglu)","MR Egger",33,0.216,0.216,0.325,0.628,"Small for gestational age"
"vpretb_all","GLNekg","vpretb_all","Endometriosis (Rahmioglu)","MR Egger",33,-1.062,0.553,0.064,0.37,"Very preterm birth < 34weeks"
"zbw_all","GLNekg","zbw_all","Endometriosis (Rahmioglu)","MR Egger",34,0.013,0.109,0.903,0.97,"Z-score birthweight"
