"outcome","id.exposure","id.outcome","exposure","method","Q","Q_df","Q_pval","outcome_full"
"anaemia_preg_all","Nk0xbD","anaemia_preg_all","Endometriosis (Rahmioglu)","Inverse variance weighted",50.031,33,"0.029","Anaemia in pregnancy (all)"
"anaemia_preg_all","Nk0xbD","anaemia_preg_all","Endometriosis (Rahmioglu)","MR Egger",49.38,32,"0.026","Anaemia in pregnancy (all)"
"Antepartum_bleeding","Nk0xbD","Antepartum_bleeding","Endometriosis (Rahmioglu)","MR Egger",48.886,38,"0.111","Antepartum_bleeding"
"Antepartum_bleeding","Nk0xbD","Antepartum_bleeding","Endometriosis (Rahmioglu)","Inverse variance weighted",50.196,39,"0.108","Antepartum_bleeding"
"apgar1","Nk0xbD","apgar1","Endometriosis (Rahmioglu)","Inverse variance weighted",48.344,33,"0.041","Apgar score at 1 min"
"apgar1","Nk0xbD","apgar1","Endometriosis (Rahmioglu)","MR Egger",45.701,32,"0.055","Apgar score at 1 min"
"apgar5","Nk0xbD","apgar5","Endometriosis (Rahmioglu)","MR Egger",48.46,32,"0.031","Apgar score at 5 min"
"apgar5","Nk0xbD","apgar5","Endometriosis (Rahmioglu)","Inverse variance weighted",49.059,33,"0.036","Apgar score at 5 min"
"bf_dur_4c","Nk0xbD","bf_dur_4c","Endometriosis (Rahmioglu)","MR Egger",47.515,32,"0.038","Breastfeeding ≥4 months"
"bf_dur_4c","Nk0xbD","bf_dur_4c","Endometriosis (Rahmioglu)","Inverse variance weighted",48.269,33,"0.042","Breastfeeding ≥4 months"
"bf_est","Nk0xbD","bf_est","Endometriosis (Rahmioglu)","Inverse variance weighted",37.352,32,"0.237","Exclusive breastfeeding"
"bf_est","Nk0xbD","bf_est","Endometriosis (Rahmioglu)","MR Egger",37.227,31,"0.204","Exclusive breastfeeding"
"bf_ini","Nk0xbD","bf_ini","Endometriosis (Rahmioglu)","Inverse variance weighted",41.53,32,"0.121","Breastfeeding initiation"
"bf_ini","Nk0xbD","bf_ini","Endometriosis (Rahmioglu)","MR Egger",41.357,31,"0.101","Breastfeeding initiation"
"bf_sus","Nk0xbD","bf_sus","Endometriosis (Rahmioglu)","MR Egger",27.323,31,"0.656","Breastfeeding cessation"
"bf_sus","Nk0xbD","bf_sus","Endometriosis (Rahmioglu)","Inverse variance weighted",27.43,32,"0.697","Breastfeeding cessation"
"cs","Nk0xbD","cs","Endometriosis (Rahmioglu)","MR Egger",85.875,30,"2.73e-07","Caesarean section (all)"
"cs","Nk0xbD","cs","Endometriosis (Rahmioglu)","Inverse variance weighted",91.623,31,"6.65e-08","Caesarean section (all)"
"depr_subsamp","Nk0xbD","depr_subsamp","Endometriosis (Rahmioglu)","MR Egger",32.672,32,"0.434","Postpartum depression (subsample)"
"depr_subsamp","Nk0xbD","depr_subsamp","Endometriosis (Rahmioglu)","Inverse variance weighted",33.365,33,"0.45","Postpartum depression (subsample)"
"Early_bleeding_ending_in_live_birth","Nk0xbD","Early_bleeding_ending_in_live_birth","Endometriosis (Rahmioglu)","Inverse variance weighted",42.028,39,"0.341","Early_bleeding_ending_in_live_birth"
"Early_bleeding_ending_in_live_birth","Nk0xbD","Early_bleeding_ending_in_live_birth","Endometriosis (Rahmioglu)","MR Egger",41.6,38,"0.317","Early_bleeding_ending_in_live_birth"
"Early_bleeding_with_any_outcome","Nk0xbD","Early_bleeding_with_any_outcome","Endometriosis (Rahmioglu)","MR Egger",63.493,38,"0.006","Early_bleeding_with_any_outcome"
"Early_bleeding_with_any_outcome","Nk0xbD","Early_bleeding_with_any_outcome","Endometriosis (Rahmioglu)","Inverse variance weighted",64.954,39,"0.006","Early_bleeding_with_any_outcome"
"el_cs","Nk0xbD","el_cs","Endometriosis (Rahmioglu)","Inverse variance weighted",59.445,28,"4.79e-04","Elective caesarean section"
"el_cs","Nk0xbD","el_cs","Endometriosis (Rahmioglu)","MR Egger",54.403,27,"0.001","Elective caesarean section"
