"outcome","id.exposure","id.outcome","exposure","method","nsnp","b","se","pval","qval","outcome_full"
"anaemia_preg_all","GLNekg","anaemia_preg_all","Endometriosis (Rahmioglu)","Inverse variance weighted",34,-0.016,0.104,"0.879","0.944","Pregnancy anemia"
"Antepartum_bleeding","GLNekg","Antepartum_bleeding","Endometriosis (Rahmioglu)","Inverse variance weighted",40,0.053,0.089,"0.549","0.671","Antepartum bleeding"
"depr_subsamp","GLNekg","depr_subsamp","Endometriosis (Rahmioglu)","Inverse variance weighted",34,0.026,0.041,"0.524","0.671","Postpartum depression"
"el_cs","GLNekg","el_cs","Endometriosis (Rahmioglu)","Inverse variance weighted",29,0.231,0.102,"0.023","0.18","Elective caesarean section"
"em_cs","GLNekg","em_cs","Endometriosis (Rahmioglu)","Inverse variance weighted",32,0.152,0.084,"0.068","0.264","Emergency caesarean section"
"finngen_R12_O15_PLAC_DISORD","GLNekg","finngen_R12_O15_PLAC_DISORD","Endometriosis (Rahmioglu)","Inverse variance weighted",40,0.346,0.233,"0.137","0.33","Placental disorders"
"finngen_R12_O15_PLAC_PRAEVIA","GLNekg","finngen_R12_O15_PLAC_PRAEVIA","Endometriosis (Rahmioglu)","Inverse variance weighted",40,0.483,0.1,"1.46e-06","4.22e-05","Placenta praevia"
"finngen_R12_O15_PLAC_PREMAT_SEPAR","GLNekg","finngen_R12_O15_PLAC_PREMAT_SEPAR","Endometriosis (Rahmioglu)","Inverse variance weighted",40,0.31,0.144,"0.031","0.18","Premature placental separation"
"ga_all","GLNekg","ga_all","Endometriosis (Rahmioglu)","Inverse variance weighted",34,0.103,0.071,"0.15","0.335","Gestational age"
"gdm_subsamp","GLNekg","gdm_subsamp","Endometriosis (Rahmioglu)","Inverse variance weighted",33,-0.034,0.034,"0.318","0.486","Gestational diabetes"
"gh_subsamp","GLNekg","gh_subsamp","Endometriosis (Rahmioglu)","Inverse variance weighted",33,-0.053,0.041,"0.202","0.407","Gestational hypertension"
"hbw_all","GLNekg","hbw_all","Endometriosis (Rahmioglu)","Inverse variance weighted",34,0.048,0.079,"0.545","0.671","High birthweight >4000g"
"hdp_subsamp","GLNekg","hdp_subsamp","Endometriosis (Rahmioglu)","Inverse variance weighted",33,-0.038,0.033,"0.238","0.407","Hypertensive disorders of pregnancy"
"induction","GLNekg","induction","Endometriosis (Rahmioglu)","Inverse variance weighted",32,0.005,0.088,"0.952","0.952","Labour induction"
"lbw_all","GLNekg","lbw_all","Endometriosis (Rahmioglu)","Inverse variance weighted",34,-0.136,0.091,"0.136","0.33","Low birthweight <2500g"
"lga","GLNekg","lga","Endometriosis (Rahmioglu)","Inverse variance weighted",34,0.096,0.079,"0.225","0.407","Large for gestational age"
"lowapgar1","GLNekg","lowapgar1","Endometriosis (Rahmioglu)","Inverse variance weighted",30,0.164,0.091,"0.073","0.264","Low Apgar score at 1 min"
"lowapgar5","GLNekg","lowapgar5","Endometriosis (Rahmioglu)","Inverse variance weighted",34,0.115,0.211,"0.586","0.68","Low Apgar score at 5 min"
"nicu","GLNekg","nicu","Endometriosis (Rahmioglu)","Inverse variance weighted",33,-0.039,0.065,"0.555","0.671","NICU admission"
"pe_subsamp","GLNekg","pe_subsamp","Endometriosis (Rahmioglu)","Inverse variance weighted",33,-0.06,0.04,"0.132","0.33","Preeclampsia"
"Postpartum_hemorrhage","GLNekg","Postpartum_hemorrhage","Endometriosis (Rahmioglu)","Inverse variance weighted",40,-0.058,0.057,"0.314","0.486","Postpartum hemorrhage (any)"
"Postpartum_hemorrhage_due_to_atony","GLNekg","Postpartum_hemorrhage_due_to_atony","Endometriosis (Rahmioglu)","Inverse variance weighted",40,-0.037,0.059,"0.53","0.671","PPH due to atony"
"Postpartum_hemorrhage_due_to_retained_placenta","GLNekg","Postpartum_hemorrhage_due_to_retained_placenta","Endometriosis (Rahmioglu)","Inverse variance weighted",40,-0.157,0.098,"0.109","0.33","PPH due to retained placenta"
"posttb_all","GLNekg","posttb_all","Endometriosis (Rahmioglu)","Inverse variance weighted",34,0.037,0.083,"0.655","0.73","Post-term birth"
"pretb_all","GLNekg","pretb_all","Endometriosis (Rahmioglu)","Inverse variance weighted",33,-0.184,0.078,"0.019","0.18","Preterm birth <37 weeks (any)"
"rup_memb","GLNekg","rup_memb","Endometriosis (Rahmioglu)","Inverse variance weighted",34,0.112,0.05,"0.025","0.18","Premature rupture of membranes"
"sga","GLNekg","sga","Endometriosis (Rahmioglu)","Inverse variance weighted",33,0.007,0.067,"0.917","0.95","Small for gestational age"
"vpretb_all","GLNekg","vpretb_all","Endometriosis (Rahmioglu)","Inverse variance weighted",33,-0.335,0.169,"0.048","0.232","Very preterm birth < 34weeks"
"zbw_all","GLNekg","zbw_all","Endometriosis (Rahmioglu)","Inverse variance weighted",34,0.039,0.032,"0.228","0.407","Z-score birthweight"
