"outcome","id.exposure","id.outcome","exposure","egger_intercept","se","pval","outcome_full"
"anaemia_preg_all","pvh6wX","anaemia_preg_all","Endometriosis (Rahmioglu)","0.013",0.02,0.521,"Anaemia in pregnancy"
"Antepartum_bleeding","pvh6wX","Antepartum_bleeding","Endometriosis (Rahmioglu)","-0.017",0.017,0.319,"Antepartum_bleeding"
"apgar1","pvh6wX","apgar1","Endometriosis (Rahmioglu)","0.006",0.004,0.183,"Apgar score at 1 min"
"apgar5","pvh6wX","apgar5","Endometriosis (Rahmioglu)","0.002",0.003,0.534,"Apgar score at 5 min"
"bf_dur_4c","pvh6wX","bf_dur_4c","Endometriosis (Rahmioglu)","-0.003",0.004,0.481,"Breastfeeding ≥4 months"
"bf_est","pvh6wX","bf_est","Endometriosis (Rahmioglu)","-0.003",0.009,0.75,"Exclusive breastfeeding"
"bf_ini","pvh6wX","bf_ini","Endometriosis (Rahmioglu)","-0.004",0.01,0.721,"Breastfeeding initiation"
"bf_sus","pvh6wX","bf_sus","Endometriosis (Rahmioglu)","-0.003",0.009,0.745,"Breastfeeding cessation"
"cs","pvh6wX","cs","Endometriosis (Rahmioglu)","0.017",0.012,0.167,"Caesarean section"
"depr_subsamp","pvh6wX","depr_subsamp","Endometriosis (Rahmioglu)","0.006",0.008,0.416,"Postpartum depression"
"Early_bleeding_ending_in_live_birth","pvh6wX","Early_bleeding_ending_in_live_birth","Endometriosis (Rahmioglu)","0.007",0.011,0.535,"Early_bleeding_ending_in_live_birth"
"Early_bleeding_with_any_outcome","pvh6wX","Early_bleeding_with_any_outcome","Endometriosis (Rahmioglu)","-0.006",0.007,0.356,"Early_bleeding_with_any_outcome"
"el_cs","pvh6wX","el_cs","Endometriosis (Rahmioglu)","-0.029",0.019,0.125,"Elective caesarean section"
"em_cs","pvh6wX","em_cs","Endometriosis (Rahmioglu)","-0.028",0.015,0.075,"Emergency caesarean section"
"finngen_R12_N14_FEMALEINFERT","pvh6wX","finngen_R12_N14_FEMALEINFERT","Endometriosis (Rahmioglu)","-0.003",0.01,0.794,"Female infertility"
"finngen_R12_O15_PLAC_DISORD","pvh6wX","finngen_R12_O15_PLAC_DISORD","Endometriosis (Rahmioglu)","0.025",0.044,0.579,"Other placental disorders"
"finngen_R12_O15_PLAC_PRAEVIA","pvh6wX","finngen_R12_O15_PLAC_PRAEVIA","Endometriosis (Rahmioglu)","4.69e-04",0.019,0.98,"Placenta praevia"
"finngen_R12_O15_PLAC_PREMAT_SEPAR","pvh6wX","finngen_R12_O15_PLAC_PREMAT_SEPAR","Endometriosis (Rahmioglu)","-0.012",0.027,0.654,"Placental abruption"
"finngen_R12_O15_PREG_ECTOP","pvh6wX","finngen_R12_O15_PREG_ECTOP","Endometriosis (Rahmioglu)","-0.009",0.01,0.411,"Ectopic pregnancy"
"ga_all","pvh6wX","ga_all","Endometriosis (Rahmioglu)","-0.004",0.014,0.757,"Gestational age"
"ga_subsamp","pvh6wX","ga_subsamp","Endometriosis (Rahmioglu)","-0.006",0.014,0.693,"Gestational age (subset)"
"gdm_subsamp","pvh6wX","gdm_subsamp","Endometriosis (Rahmioglu)","0.005",0.007,0.445,"Gestational diabetes"
"gh_subsamp","pvh6wX","gh_subsamp","Endometriosis (Rahmioglu)","-0.003",0.008,0.721,"Gestational hypertension"
"hbw_all","pvh6wX","hbw_all","Endometriosis (Rahmioglu)","7.7e-04",0.015,0.961,"High birthweight (>4000 g)"
"hdp_subsamp","pvh6wX","hdp_subsamp","Endometriosis (Rahmioglu)","-0.008",0.006,0.19,"Hypertensive disorders of pregnancy"
"hyp","pvh6wX","hyp","Endometriosis (Rahmioglu)","0.013",0.015,0.375,"Hyperemesis gravidarum"
"induction","pvh6wX","induction","Endometriosis (Rahmioglu)","-0.014",0.017,0.414,"Induction of labour"
"lbw_all","pvh6wX","lbw_all","Endometriosis (Rahmioglu)","0.002",0.018,0.918,"Low birthweight (<2500 g)"
"lga","pvh6wX","lga","Endometriosis (Rahmioglu)","-3.56e-04",0.015,0.982,"Large for gestational age"
"lowapgar1","pvh6wX","lowapgar1","Endometriosis (Rahmioglu)","-0.024",0.02,0.251,"Low Apgar score at 1 min"
"lowapgar5","pvh6wX","lowapgar5","Endometriosis (Rahmioglu)","-0.045",0.04,0.268,"Low Apgar score at 5 min"
"misc_subsamp","pvh6wX","misc_subsamp","Endometriosis (Rahmioglu)","-0.003",0.004,0.458,"Miscarriage"
"nicu","pvh6wX","nicu","Endometriosis (Rahmioglu)","-0.008",0.015,0.576,"NICU admission"
"nvp_sev_all","pvh6wX","nvp_sev_all","Endometriosis (Rahmioglu)","0.003",0.003,0.448,"Severe nausea/vomiting"
"nvp_sev_subsamp","pvh6wX","nvp_sev_subsamp","Endometriosis (Rahmioglu)","0.004",0.004,0.314,"Severe nausea/vomiting (subset)"
"pe_subsamp","pvh6wX","pe_subsamp","Endometriosis (Rahmioglu)","-0.011",0.008,0.17,"Preeclampsia"
"Postpartum_hemorrhage","pvh6wX","Postpartum_hemorrhage","Endometriosis (Rahmioglu)","0.025",0.01,0.02,"Postpartum_hemorrhage"
"Postpartum_hemorrhage_due_to_atony","pvh6wX","Postpartum_hemorrhage_due_to_atony","Endometriosis (Rahmioglu)","0.028",0.01,0.012,"Postpartum_hemorrhage_due_to_atony"
