"outcome","id.exposure","id.outcome","exposure","method","nsnp","b","se","pval","qval","outcome_full"
"anaemia_preg_all","pvh6wX","anaemia_preg_all","Endometriosis (Rahmioglu)","Weighted median",34,0.063,0.133,"0.636","0.837","Pregnancy anemia"
"cs","pvh6wX","cs","Endometriosis (Rahmioglu)","Weighted median",32,0.017,0.054,"0.758","0.849","Caesarean section"
"depr_subsamp","pvh6wX","depr_subsamp","Endometriosis (Rahmioglu)","Weighted median",34,-0.014,0.062,"0.828","0.849","Postpartum Depression"
"el_cs","pvh6wX","el_cs","Endometriosis (Rahmioglu)","Weighted median",29,0.13,0.118,"0.268","0.516","Elective caesarean section"
"em_cs","pvh6wX","em_cs","Endometriosis (Rahmioglu)","Weighted median",32,0.028,0.09,"0.753","0.849","Emergency caesarean section"
"finngen_R12_O15_PLAC_DISORD","pvh6wX","finngen_R12_O15_PLAC_DISORD","Endometriosis (Rahmioglu)","Weighted median",40,0.271,0.36,"0.452","0.664","Placental disorders"
"finngen_R12_O15_PLAC_PRAEVIA","pvh6wX","finngen_R12_O15_PLAC_PRAEVIA","Endometriosis (Rahmioglu)","Weighted median",40,0.613,0.143,"1.74e-05","4.34e-04","Placenta praevia"
"finngen_R12_O15_PLAC_PREMAT_SEPAR","pvh6wX","finngen_R12_O15_PLAC_PREMAT_SEPAR","Endometriosis (Rahmioglu)","Weighted median",40,0.419,0.204,"0.04","0.2","Premature placental separation"
"ga_all","pvh6wX","ga_all","Endometriosis (Rahmioglu)","Weighted median",34,0.121,0.039,"0.002","0.024","Gestational age"
"gdm_subsamp","pvh6wX","gdm_subsamp","Endometriosis (Rahmioglu)","Weighted median",33,0.022,0.052,"0.68","0.849","Gestational diabetes mellitus"
"gh_subsamp","pvh6wX","gh_subsamp","Endometriosis (Rahmioglu)","Weighted median",33,-0.07,0.054,"0.202","0.494","Gestational hypertension"
"hbw_all","pvh6wX","hbw_all","Endometriosis (Rahmioglu)","Weighted median",34,0.117,0.095,"0.217","0.494","High birthweight (>4000g)"
"hdp_subsamp","pvh6wX","hdp_subsamp","Endometriosis (Rahmioglu)","Weighted median",33,-0.029,0.046,"0.521","0.724","Hypertensive disorders of pregnancy"
"induction","pvh6wX","induction","Endometriosis (Rahmioglu)","Weighted median",32,-0.107,0.077,"0.165","0.494","Labour induction"
"lbw_all","pvh6wX","lbw_all","Endometriosis (Rahmioglu)","Weighted median",34,-0.111,0.071,"0.117","0.488","Low birthweight (<2500g)"
"lowapgar1","pvh6wX","lowapgar1","Endometriosis (Rahmioglu)","Weighted median",30,0.141,0.123,"0.252","0.516","Low Apgar score at 1 min"
"lowapgar5","pvh6wX","lowapgar5","Endometriosis (Rahmioglu)","Weighted median",34,0.389,0.263,"0.139","0.494","Low Apgar score at 5 min"
"nicu","pvh6wX","nicu","Endometriosis (Rahmioglu)","Weighted median",33,0.018,0.094,"0.849","0.849","NICU admission"
"pe_subsamp","pvh6wX","pe_subsamp","Endometriosis (Rahmioglu)","Weighted median",33,-0.012,0.054,"0.825","0.849","Preeclampsia"
"posttb_all","pvh6wX","posttb_all","Endometriosis (Rahmioglu)","Weighted median",34,0.127,0.059,"0.03","0.191","Post-term birth"
"pretb_all","pvh6wX","pretb_all","Endometriosis (Rahmioglu)","Weighted median",33,-0.06,0.063,"0.341","0.569","Preterm birth (any)"
"rup_memb","pvh6wX","rup_memb","Endometriosis (Rahmioglu)","Weighted median",34,0.135,0.058,"0.019","0.159","Premature rupture of membranes"
"sb_subsamp","pvh6wX","sb_subsamp","Endometriosis (Rahmioglu)","Weighted median",34,-0.09,0.092,"0.327","0.569","Stillbirth"
"sga","pvh6wX","sga","Endometriosis (Rahmioglu)","Weighted median",33,-0.073,0.09,"0.421","0.658","Small for gestational age"
"vpretb_all","pvh6wX","vpretb_all","Endometriosis (Rahmioglu)","Weighted median",33,-0.3,0.227,"0.186","0.494","Very preterm birth"
